status,time_days,at_risk,events,survival,ci_low,ci_high
Helpful,42,16700,88,0.6733652292743955,0.6675041816588269,0.6791493170801771
Helpful,43,16604,93,0.6695936702330488,0.6637154536835198,0.6753958279997756
Helpful,44,16507,75,0.6665513533209826,0.6606595939283392,0.6723677814431752
Helpful,45,16424,76,0.6634669705364967,0.6575617472022793,0.6692976005364388
Helpful,46,16341,69,0.6606654760767319,0.6547482559612766,0.6665087734834202
Helpful,47,16261,71,0.6577808288347757,0.6518514754522735,0.663636950172273
Helpful,48,16186,77,0.6546516354688868,0.6487093903059225,0.6605213984558476
Helpful,49,16101,72,0.6517241826551635,0.6457701201314763,0.6576064649168192
Helpful,50,16017,62,0.649201431870084,0.6432373631907493,0.6550943252398234
Helpful,51,15950,69,0.6463929742651287,0.6404179742762444,0.6522974728799715
Helpful,52,15874,57,0.644071920999845,0.6380880471960527,0.6499858506842978
Helpful,53,15814,61,0.6415875155881219,0.6355943109065099,0.647511373082674
Helpful,54,15740,64,0.6389787734662896,0.6329759349305089,0.6449128916445225
Helpful,55,15672,78,0.6357985575187162,0.629784229742792,0.6417449297903346
Helpful,56,15590,54,0.6335963046575225,0.6275741836207992,0.6395510002864043
Helpful,57,15531,69,0.6307814089636605,0.6247495167641273,0.6367465537876815
Helpful,58,15453,49,0.6287812608345452,0.622742547604712,0.6347537086371042
Helpful,59,15397,74,0.6257592556840772,0.6197104341948874,0.6317425403286991
Helpful,60,15322,61,0.623267980746293,0.6172110185390945,0.6292600074212119
Helpful,61,15253,48,0.6213066050775182,0.6152433433486714,0.6273054048630111
Helpful,62,15196,54,0.6190987505977744,0.6130285100370625,0.6251050624524189
Helpful,63,15134,57,0.6167670056008091,0.6106895269893737,0.6227811189054443
Helpful,64,15067,48,0.6148021276377881,0.6087186508877515,0.6208227139500253
Helpful,65,15014,58,0.6124271094279179,0.606336516138625,0.6184553866345561
Helpful,66,14948,53,0.6102556726604788,0.6041586951900408,0.6162908594175864
Helpful,67,14891,49,0.6082475786466205,0.6021448068413202,0.614289045921907
Helpful,68,14835,49,0.6062385370993549,0.6001300677498875,0.6122861885443741
Helpful,69,14781,80,0.602957359711631,0.5968398106989472,0.6090148862897875
Helpful,70,14695,52,0.6008237235969658,0.5947004183602745,0.6068875241091523
Helpful,71,14637,52,0.5986892128620446,0.5925602629492276,0.6047591762801188
Helpful,72,14575,43,0.5969229256474258,0.590789383630481,0.6029979101004281
Helpful,73,14523,48,0.5949500343418362,0.5888114483221204,0.6010305420362091
Helpful,74,14468,48,0.5929761884993973,0.5868326502944626,0.599062128082594
Helpful,75,14418,47,0.5910431963465694,0.5848949082116677,0.5971343560244187
Helpful,76,14364,49,0.5890269671192664,0.5828738203826118,0.5951234760541488
Helpful,77,14307,50,0.5869684399398463,0.5808104319957985,0.5930703112678285
Helpful,78,14246,48,0.5849907279422952,0.5788281384211718,0.591097662489382
Helpful,79,14192,39,0.5833831575935248,0.5772169134967607,0.5894941384164796
Helpful,80,14150,46,0.5814866469751996,0.5753161764466705,0.5876023166564389
Helpful,81,14097,39,0.5798779373751405,0.5737039478708735,0.5859975184552281
Helpful,82,14049,49,0.5778554433235082,0.5716771123798517,0.5839798593750054
Helpful,83,13991,49,0.5758316482607642,0.5696490670308834,0.5819608086804076
Helpful,84,13938,56,0.5735180758470317,0.5673307628053481,0.5796525334063881
Helpful,85,13878,49,0.571493116507321,0.565301772942395,0.5776320998346419
Helpful,86,13819,44,0.5696734698522575,0.5634785816543234,0.5758164430124263
Helpful,87,13769,42,0.5679357775192053,0.5617375777950645,0.5740824875973319
Helpful,88,13717,53,0.5657413766874989,0.5595390905149719,0.5718927106397623
Helpful,89,13662,30,0.5644990811743511,0.5582945366596627,0.5706529779632954
Helpful,90,13629,48,0.5625109708290309,0.5563028927935599,0.5686688887745784
Not Helpful,0,19462,125,0.9935772274175316,0.9923512815384145,0.9946072113792406
Not Helpful,1,19327,102,0.9883335332489287,0.9867235286062903,0.9897493119688888
Not Helpful,2,19208,92,0.9835997408156247,0.9817150300371785,0.9852916442535681
Not Helpful,3,19104,105,0.9781936492753378,0.9760422634866993,0.9801538115681803
Not Helpful,4,18995,103,0.9728894141673957,0.9705089767361318,0.9750801841718939
Not Helpful,5,18887,74,0.9690775956335689,0.9665472684843724,0.9714193725803068
Not Helpful,6,18810,105,0.9636680715750082,0.9609415769308352,0.9662076042450533
Not Helpful,7,18694,76,0.9597503025881836,0.9568916983392782,0.9624230886880941
Not Helpful,8,18606,73,0.9559847553405787,0.9530058209523515,0.958778965030588
Not Helpful,9,18521,74,0.952165152085074,0.9490699968126326,0.9550766873866877
Not Helpful,10,18434,67,0.9487044238009413,0.9455084814098254,0.9517177432618942
Not Helpful,11,18358,56,0.945810456716681,0.9425332316284506,0.9489058917511864
Not Helpful,12,18293,78,0.9417775908322498,0.9383912511847563,0.9449833007279907
Not Helpful,13,18207,68,0.9382602142091602,0.9347823387388309,0.9415584728567945
Not Helpful,14,18124,70,0.9346363886190784,0.931067403758346,0.9380267967834329
Not Helpful,15,18048,54,0.9318399366584496,0.9282027388132695,0.93529936175295
Not Helpful,16,17987,58,0.9288351711986069,0.9251265751982253,0.9323668587326982
Not Helpful,17,17921,64,0.9255180878351389,0.92173281745004,0.9291274042518916
Not Helpful,18,17846,54,0.9227175736166531,0.918869208774975,0.926390789420181
Not Helpful,19,17781,65,0.9193444988579172,0.9154220216608513,0.9230927956599697
Not Helpful,20,17706,66,0.9159175962867763,0.9119218265467404,0.9197401699035279
Not Helpful,21,17631,55,0.9130603863840042,0.9090049715071938,0.916943426050964
Not Helpful,22,17570,55,0.9102022007692564,0.906088397288951,0.9141444512588677
Not Helpful,23,17503,41,0.9080700925460067,0.9039135108325893,0.9120557335606446
Not Helpful,24,17455,47,0.9056249883151467,0.9014201508960131,0.9096595873525792
Not Helpful,25,17397,39,0.9035947891690703,0.8993505032296909,0.9076694190468515
Not Helpful,26,17345,41,0.9014588775890223,0.8971736680451702,0.905575042338044
Not Helpful,27,17279,43,0.8992155341237565,0.8948879272351243,0.9033747340873387
Not Helpful,28,17225,48,0.89670973757003,0.8923355166965516,0.9009162636542226
Not Helpful,29,17167,32,0.8950382334282323,0.8906333418026271,0.8992759050603775
Not Helpful,30,17128,36,0.89315702275545,0.8887180112170437,0.8974293487582191
Not Helpful,31,17083,46,0.890751987161775,0.8862699530755953,0.8950680190170086
Not Helpful,32,17030,29,0.8892351458448231,0.8847263172746459,0.8935784033529867
Not Helpful,33,16996,31,0.8876132177722654,0.8830760239177441,0.8919853018848548
Not Helpful,34,16951,31,0.8859899501331326,0.8814246378572,0.8903906132630651
Not Helpful,35,16911,33,0.8842610359143168,0.8796660797674289,0.8886918332434206
Not Helpful,36,16871,43,0.8820072735680234,0.8773741475456054,0.8864768803931725
Not Helpful,37,16821,33,0.880276922219843,0.875614846417024,0.8847759702378688
Not Helpful,38,16784,37,0.878336368947552,0.8736421924436173,0.882868069556228
Not Helpful,39,16737,29,0.876814486011573,0.8720953873422365,0.8813715413082086
Not Helpful,40,16694,23,0.8756064631783236,0.8708677278205142,0.8801834976485112
Not Helpful,41,16661,31,0.8739772812349511,0.8692122742555761,0.8785810487510647
Not Helpful,42,16619,31,0.8723470209474318,0.8675559649715261,0.8769772987558724
Not Helpful,43,16580,28,0.8708738172932382,0.8660594298851232,0.875527843355896
Not Helpful,44,16541,29,0.8693469845321292,0.8645086149539648,0.8740254243063337
Not Helpful,45,16499,34,0.8675554942918667,0.8626892372457442,0.8722623271952845
Not Helpful,46,16455,29,0.8660265298838166,0.8611366896562689,0.870757377366779
Not Helpful,47,16419,41,0.8638639689650495,0.8589411207453478,0.8686284351204214
Not Helpful,48,16371,33,0.8621226268982334,0.8571734920522566,0.8669138719010322
Not Helpful,49,16326,30,0.860538425084749,0.8555655857817472,0.8653538219399755
Not Helpful,50,16285,34,0.8587417836077529,0.8537423023140226,0.8635843295789914
Not Helpful,51,16233,33,0.8569960509114518,0.851970909597049,0.8618647485080799
Not Helpful,52,16188,22,0.8558313663846386,0.8507892326469909,0.8607173840387095
Not Helpful,53,16157,20,0.8547719724793534,0.8497144699228582,0.8596736567526491
Not Helpful,54,16127,24,0.8534999115046213,0.8484240629441462,0.8584202990482537
Not Helpful,55,16090,30,0.8519085505757749,0.8468099135837214,0.8568521729415923
Not Helpful,56,16049,25,0.8505815075348132,0.8454640075756158,0.8555443648950467
Not Helpful,57,16011,27,0.8491471373703363,0.8440093858933387,0.8541306478681916
Not Helpful,58,15975,29,0.8476056496092259,0.8424463010319716,0.8526111888574575
Not Helpful,59,15936,24,0.8463291350766818,0.8411520286341573,0.8513527895337201
Not Helpful,60,15905,21,0.8452116932762034,0.8400191373168223,0.8502511101145519
Not Helpful,61,15873,22,0.8440402286978579,0.8388315645560435,0.8490960813856306
Not Helpful,62,15842,36,0.8421221976264577,0.8368873669410181,0.8472047534901741
Not Helpful,63,15785,24,0.8408418091093189,0.8355896331522779,0.8459420674796612
Not Helpful,64,15741,30,0.8392392899381558,0.8339655388755695,0.8443615693224862
Not Helpful,65,15700,16,0.8383840142286646,0.8330988154281223,0.8435179791804964
Not Helpful,66,15674,25,0.837046793330635,0.8317437883224271,0.8421989361125184
Not Helpful,67,15638,24,0.8357621582724476,0.8304421539454094,0.8409316572233632
Not Helpful,68,15596,21,0.834636805276569,0.8293019830115455,0.8398214340142426
Not Helpful,69,15556,22,0.833456424091426,0.8281061298178043,0.8386568510488879
Not Helpful,70,15523,20,0.8323825898788493,0.8270182928318343,0.8375973161839095
Not Helpful,71,15487,26,0.830985163176657,0.8256027393445884,0.8362184015620039
Not Helpful,72,15451,28,0.8294792681168586,0.8240774474344226,0.8347323186864988
Not Helpful,73,15413,16,0.8286181983517337,0.8232053477587029,0.8338825162713203
Not Helpful,74,15392,26,0.8272185054491126,0.8217878278003653,0.8325010367625851
Not Helpful,75,15354,25,0.8258715950260158,0.820423870961826,0.8311715444066768
Not Helpful,76,15315,10,0.8253323383528025,0.8198778150442559,0.8306392355298525
Not Helpful,77,15291,22,0.8241448874703383,0.8186754414751509,0.8294670338714624
Not Helpful,78,15256,24,0.8228483826657179,0.817362732359253,0.8281870896492654
Not Helpful,79,15221,15,0.8220374815593526,0.8165417430513485,0.8273864994457434
Not Helpful,80,15190,24,0.8207386731618922,0.8152268426579379,0.8261041391056014
Not Helpful,81,15156,23,0.8194931605277721,0.813965989156074,0.8248743088515067
Not Helpful,82,15122,16,0.8186260866904196,0.8130882847058682,0.8240181032539111
Not Helpful,83,15093,6,0.8183006539388035,0.8127588695143876,0.8236967419558744
Not Helpful,84,15074,15,0.817486370416906,0.8119346384927918,0.8228926282204968
Not Helpful,85,15050,23,0.8162370556979964,0.8106701327718351,0.8216588455548358
Not Helpful,86,15015,19,0.8152041882948488,0.8096247679331137,0.8206387574195311
Not Helpful,87,14989,27,0.8137357438966927,0.8081386627396396,0.8191883749043805
Not Helpful,88,14943,21,0.8125921682678477,0.8069814024978359,0.8180587956887186
Not Helpful,89,14907,23,0.8113384203728883,0.8057127244378164,0.8168203194583046
Not Helpful,90,14872,18,0.8103564346569986,0.8047191001452184,0.8158502396820354
NMR,0,186022,3579,0.9807603401748181,0.9801259751231174,0.9813746496878385
NMR,1,182345,3047,0.9643717539426062,0.9635194638626916,0.9652044936343165
NMR,2,179200,2836,0.9491097098902556,0.9481011425793434,0.9500991973956266
NMR,3,176288,2540,0.9354347083976908,0.9343081294981483,0.9365426301084592
NMR,4,173674,2387,0.9225779615677376,0.9213537077585072,0.923783956229959
NMR,5,171195,2217,0.9106304435865135,0.9093243249634045,0.9119186732554979
NMR,6,168892,2163,0.8989679986543816,0.8975887254403838,0.9003297447198891
NMR,7,166635,1949,0.8884534691175052,0.8870130980729679,0.8898766395063711
NMR,8,164603,1833,0.8785597538821062,0.877065568839762,0.8800370458510668
NMR,9,162683,1798,0.8688497630565126,0.8673058553328007,0.8703770799005142
NMR,10,160805,1641,0.8599832324064971,0.8583963495952185,0.861553800617318
NMR,11,159090,1644,0.8510963606101788,0.8494685394267785,0.8527081444702328
NMR,12,157384,1485,0.8430658232270515,0.8414027175387371,0.8447131425297125
NMR,13,155807,1469,0.8351171194183616,0.8334205724358245,0.8367981285617802
NMR,14,154253,1386,0.8276133928943145,0.8258865543275679,0.8293249284579154
NMR,15,152782,1303,0.8205550990446377,0.8188008392052635,0.8222942769540843
NMR,16,151398,1251,0.8137748613340681,0.8119951933085546,0.8155396599734053
NMR,17,150068,1171,0.8074248709122446,0.8056222004452493,0.8092128712145777
NMR,18,148843,1112,0.8013926325372157,0.7995687990553143,0.803201985341906
NMR,19,147668,1107,0.7953849555576488,0.7935406860050261,0.7972149333408716
NMR,20,146492,1110,0.7893581602332012,0.7874940094486221,0.7912082089347556
NMR,21,145311,1046,0.783676080861344,0.7817937360453892,0.7855445025885108
NMR,22,144187,1039,0.7780289736463042,0.7761290582000735,0.7799151440263045
NMR,23,143074,938,0.7729281784125075,0.7710128186729519,0.7748299540055605
NMR,24,142073,923,0.7679067267033528,0.765976549849371,0.7698234779628378
NMR,25,141091,868,0.7631825200652361,0.7612387460776847,0.7651130177556348
NMR,26,140145,874,0.7584230101109958,0.7564658626154481,0.7603670318040748
NMR,27,139183,832,0.7538893533827147,0.7519197625008938,0.7558459618717358
NMR,28,138274,798,0.7495385448142245,0.7475572796102878,0.7515069653257143
NMR,29,137386,826,0.7450321261251547,0.743039037733848,0.7470125125032946
NMR,30,136485,768,0.7408398363287365,0.7388359923718045,0.7428311110892316
NMR,31,135660,782,0.7365693310065408,0.734554770763463,0.7385714574673983
NMR,32,134818,729,0.7325864871555433,0.7305621466829665,0.7345985202410942
NMR,33,134010,713,0.7286887618712967,0.7266550441520441,0.730710295956505
NMR,34,133218,739,0.7246465078589043,0.722603265136664,0.726677695356518
NMR,35,132407,739,0.7206020557581262,0.7185494851667354,0.7226426996931424
NMR,36,131587,637,0.7171136905737392,0.7150532331971281,0.719162332237518
NMR,37,130879,644,0.7135850785219243,0.7115167916088672,0.71564166200588
NMR,38,130181,645,0.7100495212927845,0.707973539717534,0.7121139120342641
NMR,39,129469,604,0.706736991568597,0.7046539338473178,0.708808564011443
NMR,40,128774,617,0.7033507744455921,0.7012606115322952,0.7054295600121638
NMR,41,128074,648,0.6997921184979311,0.6976946286153405,0.7018783445142374
NMR,42,127351,653,0.6962038918379194,0.6940991594274595,0.6982974748793153
NMR,43,126631,629,0.6927457161308173,0.6906341413539556,0.6948462519688362
NMR,44,125939,573,0.6895938466118997,0.6874761521063918,0.6917006028998858
NMR,45,125293,558,0.6865226984519112,0.6843991452861977,0.6886354115928129
NMR,46,124661,487,0.6838407325271546,0.6817121460019088,0.6859585648129146
NMR,47,124110,516,0.6809975948429712,0.6788637570482363,0.6831207693852995
NMR,48,123522,614,0.6776125094069064,0.6754725320425135,0.6797419319144756
NMR,49,122825,561,0.6745175318552902,0.672372046440505,0.6766525615731739
NMR,50,122192,538,0.6715476939596984,0.6693970177800903,0.6736880096504542
NMR,51,121591,488,0.6688524675477737,0.6666971606643055,0.6709975004015807
NMR,52,121027,476,0.6662218663219915,0.6640621109880769,0.6683714320468558
NMR,53,120502,465,0.6636510113333629,0.6614869788064907,0.6658049368137644
NMR,54,119972,462,0.6610953586207632,0.6589271408491679,0.6632535514629299
NMR,55,119434,480,0.6584384454123137,0.6562659455496027,0.6606010057529269
NMR,56,118894,504,0.6556472786882754,0.6534703579103611,0.6578143497294217
NMR,57,118303,414,0.6533528485100302,0.6511723498329358,0.6555235712791806
NMR,58,117814,416,0.6510458664452485,0.6488618215623185,0.6532202096780753
NMR,59,117344,424,0.6486934372850632,0.6465058311780214,0.6508714175089573
