cohort_month,window_days,comparison,difference,ci_low,ci_high,n_status,n_reference
2024-01,30,Not Helpful - NMR,-0.021606320495240194,-0.06179771458061769,0.022010504388425264,469,6456
2024-02,30,Helpful - NMR,0.017551316571928488,-0.01657706403848696,0.05317339718698409,791,5098
2024-02,30,Not Helpful - NMR,-0.02115779995750905,-0.06768580218709566,0.029843196193089602,349,5098
2024-03,30,Helpful - NMR,0.0010742384846484376,-0.028792626791081993,0.03230401248637435,995,5968
2024-03,30,Not Helpful - NMR,-0.12453847420158978,-0.15821552182487938,-0.08570394104314896,456,5968
2024-04,30,Helpful - NMR,0.011571927078885325,-0.017418115861651224,0.04175506782393138,1078,6539
2024-04,30,Not Helpful - NMR,-0.19728376443576573,-0.2223967796470145,-0.16683045073180658,519,6539
2024-05,30,Helpful - NMR,0.004808710718199605,-0.025294819991806522,0.036353146483530066,958,6820
2024-05,30,Not Helpful - NMR,-0.18974240145057458,-0.21436323026694779,-0.1604105959736919,579,6820
2024-06,30,Helpful - NMR,-0.04792580916018441,-0.07669566720977634,-0.01740266916794073,952,7426
2024-06,30,Not Helpful - NMR,-0.19416763922554386,-0.21771721308737388,-0.1668960630557437,711,7426
2024-07,30,Helpful - NMR,0.012326953095566695,-0.014850839512080063,0.04066233091862759,1181,8799
2024-07,30,Not Helpful - NMR,-0.1819729066968397,-0.20303283550336793,-0.15781656381480538,863,8799
2024-08,30,Helpful - NMR,0.0099579709564665,-0.016214238513422127,0.03803029034139717,1009,7228
2024-08,30,Not Helpful - NMR,-0.1651109400940786,-0.18058977702821558,-0.14599048970396697,768,7228
2024-09,30,Helpful - NMR,-0.01893131446126839,-0.05288247531564167,0.018164216904008698,600,4557
2024-09,30,Not Helpful - NMR,-0.20059798112793506,-0.2196587966652022,-0.1761382035979176,504,4557
2024-10,30,Helpful - NMR,-0.0121668445110088,-0.04327575761433593,0.021092951271912304,791,5848
2024-10,30,Not Helpful - NMR,-0.18852791621396936,-0.20989584578599343,-0.16272553619734872,622,5848
2024-11,30,Helpful - NMR,0.051729094289768573,0.01996503535227377,0.08506121638854658,856,6112
2024-11,30,Not Helpful - NMR,-0.17927047601853524,-0.19930567021114232,-0.15529675033162968,696,6112
2024-12,30,Helpful - NMR,0.012688047611175368,-0.01639913484803771,0.043056981691990584,1052,6049
2024-12,30,Not Helpful - NMR,-0.21093804506875302,-0.23117066542866319,-0.18681674893526376,699,6049
2025-01,30,Helpful - NMR,0.0119164621345344,-0.017155795394079854,0.042694494595199,941,7184
2025-01,30,Not Helpful - NMR,-0.18378379718571664,-0.20260447009200747,-0.16145037173854768,786,7184
2025-02,30,Helpful - NMR,0.004948972802118146,-0.027279315323201443,0.03963528812860516,713,5259
2025-02,30,Not Helpful - NMR,-0.184354440007606,-0.20361458791961826,-0.1605134298367109,600,5259
2025-03,30,Helpful - NMR,-0.007970221737928718,-0.04102778800277151,0.028770283283200672,564,4901
2025-03,30,Not Helpful - NMR,-0.1467134572594238,-0.1666495220342834,-0.12249440585377261,633,4901
2025-04,30,Helpful - NMR,0.038031230498467905,-0.0011157015692394648,0.08200017105622023,411,3470
2025-04,30,Not Helpful - NMR,-0.14159793302196166,-0.16060087364041542,-0.11589697514977274,406,3470
2025-05,30,Helpful - NMR,0.014831893429444687,-0.025736001601272845,0.06167542908080722,342,2979
2025-05,30,Not Helpful - NMR,-0.14710158610271903,-0.16643280316252795,-0.1192976918301636,320,2979
2025-06,30,Helpful - NMR,0.015936610419806374,-0.022645318485952116,0.05933800797186619,418,3486
2025-06,30,Not Helpful - NMR,-0.15117171984641864,-0.1717605449056822,-0.123494911646485,390,3486
2025-07,30,Helpful - NMR,0.04334753453305154,0.0021730036973620984,0.08945013547015485,386,3263
2025-07,30,Not Helpful - NMR,-0.14296060673310296,-0.16287722374300564,-0.11694823656008924,435,3263
