cohort_month,status,window_days,n,retained,proportion,ci_low,ci_high,cohort_complete
2025-03,Not Helpful,30,633,39,0.061611374407582936,0.04539473399811168,0.0831167780699759,True
2025-03,NMR,30,4901,1021,0.20832483166700674,0.19718570852794817,0.21992083324243358,True
2025-04,Helpful,30,411,88,0.2141119221411192,0.17719689478484268,0.25632163379218303,True
2025-04,Not Helpful,30,406,14,0.034482758620689655,0.020649873652273675,0.057042263478793834,True
2025-04,NMR,30,3470,611,0.1760806916426513,0.1637677725693688,0.18911000649797088,True
2025-05,Helpful,30,342,65,0.19005847953216373,0.1520076818955874,0.23499467252741407,True
2025-05,Not Helpful,30,320,9,0.028125,0.014865850458275418,0.05257906193877315,True
2025-05,NMR,30,2979,522,0.17522658610271905,0.16199573611437412,0.1892939563773522,True
2025-06,Helpful,30,418,87,0.20813397129186603,0.17195975879900577,0.24962388382794276,True
2025-06,Not Helpful,30,390,16,0.041025641025641026,0.025408082679005527,0.06559670622264188,True
2025-06,NMR,30,3486,670,0.19219736087205966,0.17945889678800905,0.2056134552594138,True
2025-07,Helpful,30,386,87,0.22538860103626943,0.1865289735180465,0.2696602151810742,True
2025-07,Not Helpful,30,435,17,0.03908045977011494,0.024540848549898926,0.06168951565130054,True
2025-07,NMR,30,3263,594,0.18204106650321789,0.16917739695758197,0.19565250796560948,True
2025-08,Helpful,30,424,99,0.23349056603773585,0.1957254376357648,0.27604150934747446,True
2025-08,Not Helpful,30,466,36,0.07725321888412018,0.056321525607077705,0.10509773060555369,True
2025-08,NMR,30,3285,685,0.2085235920852359,0.19497559621609473,0.2227524931498558,True
2025-09,Helpful,30,424,103,0.2429245283018868,0.20453113731296482,0.2859343248213102,True
2025-09,Not Helpful,30,421,23,0.05463182897862233,0.03667671095053325,0.08064107380392005,True
2025-09,NMR,30,3816,827,0.21671907756813416,0.2039351536212418,0.23007276966375287,True
2025-10,Helpful,30,434,117,0.2695852534562212,0.2299932019570489,0.31322045227594497,True
2025-10,Not Helpful,30,468,20,0.042735042735042736,0.027832188278293698,0.0650834680319214,True
2025-10,NMR,30,3830,857,0.2237597911227154,0.21084138931624152,0.23723177105620363,True
2025-11,Helpful,30,519,127,0.24470134874759153,0.20967912361457494,0.28347507154484064,True
2025-11,Not Helpful,30,392,26,0.0663265306122449,0.04566168345237575,0.09540857984712581,True
2025-11,NMR,30,3797,772,0.2033184092704767,0.19081978756553844,0.21641673508093637,True
2025-12,Helpful,30,526,131,0.24904942965779467,0.21400057707364034,0.28773716804807287,True
2025-12,Not Helpful,30,432,32,0.07407407407407407,0.05295622204789476,0.1027000549025828,True
2025-12,NMR,30,3844,805,0.20941727367325702,0.19684770057089557,0.2225670482153791,True
2026-01,Helpful,30,543,133,0.24493554327808473,0.21063862358209123,0.28281602304003595,True
2026-01,Not Helpful,30,444,26,0.05855855855855856,0.04027198939102658,0.08441825024811282,True
2026-01,NMR,30,4163,864,0.2075426375210185,0.1954956724283432,0.22012884219162088,True
2026-02,Helpful,30,544,127,0.23345588235294118,0.19985210211688736,0.27079767195412613,True
2026-02,Not Helpful,30,513,23,0.04483430799220273,0.030058648589003093,0.06637606648671888,True
2026-02,NMR,30,4034,847,0.20996529499256322,0.1976758606764925,0.222806586724147,True
2026-03,Helpful,30,529,127,0.24007561436672967,0.20563440764243404,0.2782646106347081,True
2026-03,Not Helpful,30,575,31,0.05391304347826087,0.038238397899325316,0.07550856651963077,True
2026-03,NMR,30,4540,961,0.2116740088105727,0.20003781504044302,0.22379771625481606,True
2026-04,Helpful,30,356,88,0.24719101123595505,0.20523733664069155,0.29454237026158503,True
2026-04,Not Helpful,30,439,23,0.05239179954441914,0.035162013134236746,0.07738720245507164,True
2026-04,NMR,30,3454,672,0.19455703532136653,0.18169769988214096,0.20809502915766265,True
2026-05,Helpful,30,281,58,0.20640569395017794,0.16319776499453895,0.2575326276837739,True
2026-05,Not Helpful,30,377,18,0.04774535809018567,0.030411661774817616,0.07420262823464295,True
2026-05,NMR,30,3236,629,0.19437577255871447,0.1811071698412893,0.20836912856993164,True
2026-06,Helpful,30,285,53,0.18596491228070175,0.14507754713941767,0.235205322463734,True
2026-06,Not Helpful,30,365,13,0.03561643835616438,0.020930587596045883,0.05997533582185556,True
2026-06,NMR,30,3093,525,0.1697381183317168,0.15691978868168058,0.1833757908091748,True
2026-07,Helpful,30,304,70,0.23026315789473684,0.18647958726387467,0.2807786545978113,True
2026-07,Not Helpful,30,391,15,0.03836317135549872,0.02338417757252348,0.062324802740160085,True
2026-07,NMR,30,2952,510,0.17276422764227642,0.159554342322376,0.1868246746460039,True
2026-08,Helpful,30,94,29,0.30851063829787234,0.2242009454589739,0.407856870993107,False
2026-08,Not Helpful,30,78,5,0.0641025641025641,0.027689315373790935,0.14143595463171177,False
2026-08,NMR,30,787,145,0.18424396442185514,0.15871455378054872,0.21284090217502505,False
